"state_name","population_2019"
"Kano ",14253549
"Lagos ",12772884
"Katsina ",9300382
"Kaduna ",8324285
"Bauchi ",7540663
"Oyo ",7512855
"Jigawa ",6779080
"Niger ",6220617
"Ogun ",5945275
"Sokoto ",5863187
"Benue ",5787706
"Borno ",5751590
"Anambra ",5599910
"Zamfara ",5317793
"Delta ",5307543
"Imo ",5167722
"Kebbi ",5001610
"Ondo ",4969707
"Akwa Ibom ",4780581
"Adamawa ",4536948
"Edo ",4461137
"Plateau ",4400974
"Enugu ",4396098
"Osun ",4237396
"Cross River ",4175020
"Kogi ",4153734
"Abia ",3841943
"Gombe ",3623462
"Yobe ",3398177
"Ekiti ",3350401
"Taraba ",3331885
"Kwara ",3259613
"Ebonyi ",3007155
"Federal Capital Territory",2702443
"Nassarawa ",2632239
"Bayelsa ",2394725
"Nigeria",201135262
"Rivers",7034973
